firstName,middleName,lastName,suffix,aliasFirstName,aliasMiddleName,aliasLastName,aliasSuffix,dob,pobCountry,pobState,pobCity,pobCounty,sex,race,ssn,hairColor,eyeColor,height,weight,street1,street2,city,state,postalCode,country,homeTelephone,businessTelephone,mobileTelephone,pagerTelephone,faxTelephone,email,citizenship,naturalizationDate,passportCountry,passportNumber,passportType,visaNumber,visaType,visaClassOfAdmissionClassificationCode,birthAbroadCertificationId,certificateOfCitizenshipNumber,alienNumber,i94ArrivalDepartureFormNumber,certificateOfNaturalizationNumber,ds1350CertificationOfBirthAbroad,citizenshipCertificateId,admissionId,employerName,employerStreet1,employerStreet2,employerCity,employerState,employerPostalCode,employerCountry,employerEmail,employerTelephone,employerPOC,caseProgram,caseSubprogram,airportCode,fingerprintFileName,fingerprintCaseNumber,badgeId,badgeIssueDate,badgeExpirationDate,badgeAirportCode,badgeLocalType,badgeArea,badgeAccessSIDA,badgeAccessSterileArea,badgeAccessAOA,badgeAccessSecured,badgeAccessPublicArea,badgeAccessRT,badgeStatus,badgeChangeReason 
CHERRI,LATARSHA,MIURA,,JULIA,,CLEAVELAND,,03/25/1984,USA,VA,Lacey,,F,I,528745031,BLK,PNK,33,837,8025 FINCASTLE WAY,APARTMENT 244,Highland,PA,53330,IDN,4695549620,489-352-2408,3273402653,6095968118,274-637-8640,CHERRI.MIURA@EZHV.EDU,USA,,USA,8757748030,M,YVX53ZL,SM-3,VRFZO5OLHT,FWWZCR9VXE,XY7JMIOC,,,G901XUMBL,IEQFQC,VAUS3TXZIT,PZMWPUXK,Ryanair,3276 SKYLAND,,Rancho Cordova,AR,24190,VNM,ERASMO LAWALL@Ryanair.COM,5399468383,ERASMO LAWALL,ACP,FPO,YFS,CHERRI_MIURA_7X7FO9.eft,,UGU57,04/27/2010,04/27/2011,CHL,Red,Concourse A,True,False,True,False,False,False,P,
ALEX,,EVERLETH,VI,LENARD,,BEAUREGARD,,09/26/1997,USA,VA,Carol Stream,,U,U,414622833,SDY,BRO,68,99,7847 BREEDERS RUN,,Peachtree,WI,37607,ATA,3792919363,5053533572,9826138480,3832126586,(313)7260761,ALEX.EVERLETH1997@QTSU.COM,USA,,USA,3411572262,M,,,GUR7CHMK9F,,,,,,,,,Rolls-Royce Holdings,6195 63RD STREET,ROOM 149,Coeur d'Alene,OH,47123-7759,ABW,AUGUST MAYLAND@Rolls-Royce Holdings.CO.UK,3266351178,AUGUST MAYLAND,GA,MDW-PFP,YAT,,FAKE331477,,,,,,,,,,,,,,
GUADALUPE,WILFRED,REDDIG,,DELBERT,TUAN,BURNEISEN,,02/24/1989,CRI,,,,U,I,368746090,BLN,MAR,36,1108,8475 BOLD FORBES,,Allen Park,CT,77755,SVN,(722)9958847,2519907699,409-863-5073,918-831-9829,(900)9419377,GUADALUPE.REDDIG1989@IMVR.EDU,USA,,USA,4574546133,D,,,33Z5COV0GH,,,,,,,,,Air Sahara,940 MORRIS BLVD,,Newburgh,CA,53056-2314,PCN,BENITO DARAS@Air Sahara.CO.UK,9547725019,BENITO DARAS,GA,MDW-FP,XDZ,,,,,,,,,,,,,,,,
ASHLEIGH,LILLI,HEDDEN,,MAKEDA,,GREENFELD,,11/21/1986,USA,TX,Odessa,Scottsdale county,F,W,521281454,BLK,GRN,94,450,1451 BUCKLEY BLVD,SUITE 91,Beloit,OK,22742,PRT,9527828596,(480)3810145,(318)6080633,6732916766,(901)9095534,ASHLEIGH.HEDDEN@LTGJ.ORG,USA,,USA,3504124276,P,,,UE52OHS8H7,,,,,,,,,Synthes,8545 LA CORONA BOULEVARD,,Decatur,IN,49729,FIN,JAE VENTURI@Synthes.EDU,(901)7541656,JAE VENTURI,ACP,FPO,SAT,ASHLEIGH_HEDDEN_3F0H9O.eft,,7F0TK,08/21/2006,08/21/2007,IUJ,Blue,Baggage Handling,True,True,True,True,False,False,NI,Hiring Decision
DARIUS,,PHUNG,I,JEAN,,HOCHFELDER,,02/24/1916,USA,GA,New Brunswick,,U,B,527185396,PLE,MUL,55,968,7904 CRESTRIDGE,OFFICE # 279,Los Gatos,LA,70564-6066,BLR,354-406-9935,9428210629,6219457843,4672326013,799-545-5362,DARIUS.PHUNG1916@PHMU.CO.UK,USA,,USA,2691396277,D,,,BWFPPX5U44,,,,,,,,,Schindler Holding,7181 ROCK COVE,ROOM 308,Trotwood,MI,89179,LCA,ROSCOE ITANI@Schindler Holding.NET,435-833-5077,ROSCOE ITANI,ACP,FPO,YYH,DARIUS_PHUNG_2ZSZRQ.eft,,5D6X7,10/22/2006,10/22/2007,UYR,Yellow,Terminal 1,True,False,False,True,True,True,A,
JEREMY,ALVIN,VENEMA,,LEIF,,HARKE,III,09/27/1939,USA,WA,Cuyahoga Falls,,U,U,302930173,BLK,HAZ,100,233,3828 CATTLE CREEK ST,,Oregon,MS,58223,IRL,555-749-7402,273-695-7612,7439637539,200-249-7216,(463)9399597,JEREMY.VENEMA@BREN.ORG,UKR,,USA,3125432145,P,,,NAGW1INVYN,,,A654770213,35847471055,,,,,Aerosvit,1431 ROOTSTOWN,,Knoxville,VA,36195-4388,GIB,IRA CHRISTOFOROU@Aerosvit.CO.UK,430-203-9461,IRA CHRISTOFOROU,ACP,FPO,HON,JEREMY_VENEMA_4AFU21.eft,,CY4XT,10/26/2006,10/26/2007,WLH,Contractor,Concourse A,False,False,False,True,True,False,NI,Hiring Decision
BERNARDO,GARRY,PHILIPOSE,,KURT,,MCGARVEY,,07/22/1921,USA,CO,Scottsdale,,U,W,610529463,WHI,HAZ,51,1107,5604 LOWRY PARK,,Columbia,AZ,69938,FRA,(785)3719464,3838221622,376-768-5924,979-632-6694,(345)6427917,BERNARDO.PHILIPOSE@ZHBG.COM,KNA,,USA,2270889402,D,,,UH8FY0OBZE,,,A733678960,64443622228,,,,,Airport Bathroom Cleaners Inc,4015 BENEDICT WAY,ROOM 377,Lafayette,KS,29617-9996,BLR,MOHAMMAD BUXBAUM@Airport Bathroom Cleaners Inc.ORG,(879)9733424,MOHAMMAD BUXBAUM,AW,FPO,YCK,BERNARDO_PHILIPOSE_ZIVDCY.eft,,13X78,06/26/2009,06/26/2010,CCO,Yellow,Terminal 2,True,True,False,True,False,True,P,
DENISSE,STASIA,HOSANG,,SHIZUKO,,BENEKE,SR,04/27/1942,USA,ND,Sioux,,F,W,645082090,GRN,GRN,37,1163,2376 STANTON STREET,ROOM # 209,Mobile,MS,70567-7941,IRN,942-926-9094,392-422-3210,929-879-3117,333-325-5563,4805414422,DENISSE.HOSANG@DBEN.COM,USA,,PRK,8953475503,M,PCTHYEZ,NATO-4,80QZ2JZTYB,8DN6XMIY22,J6516LY2,,,L5MSHXAAV,M52ELM,XKBPZSLV6S,ET2Q6GOR,General Mills,528 ASHLAWN ROAD,APARTMENT # 261,Wauwatosa,ND,70046,IRQ,DUNCAN BURCHFIEL@General Mills.ORG,417-619-4664,DUNCAN BURCHFIEL,GA,DCM-PFP,YPE,,FAKE445125,,,,,,,,,,,,,,
CHERISH,PIEDAD,KREUSCH,,THEA,SHASTA,LACHINO,,02/22/1901,USA,NC,Lubbock,,F,A,285723691,BRY,HAZ,102,1202,9863 ULVERSTON ROAD,,Lenexa,WA,60613-2366,NIU,(607)7077260,(551)7970588,2847945593,735-302-5573,3376737747,CHERISH.KREUSCH1901@YDKZ.GOV,USA,,USA,6901218216,P,QOHJGT1,DV-1,HAZH880PQX,MQXE6VRJIR,FDSTD5YM,,,KQFFGQ5X8,YU2YWL,VTA1P9BAPQ,GU80XBPI,Air Canada,8598 MCCOLLOUGH BLVD,,Franklin,LA,48877-3494,SCG,DESMOND BECKEL@Air Canada.NET,(350)8343877,DESMOND BECKEL,AW,FPO,MBS,CHERISH_KREUSCH_QVRI8J.eft,,,,,,,,,,,,,,,
PAULA,JANNA,LUNDHOLM,I,LEWIS,,FREEHOFFER,JR,06/22/1909,USA,ID,Dubuque,,F,I,530526987,BRY,BRO,95,1223,745 EAGER,APT # 25,Highland,NV,46211,USA,5245435615,678-236-5016,768-550-3785,2819396876,538-891-6613,PAULA.LUNDHOLM@YNGE.COM,OMN,,USA,9934929213,P,,,6MB6NI5LT3,,,A342986762,78828549743,,,,,Estee Lauder Cos,8315 WESTOVER WAY,SUITE 328,Danville,KS,68692,PAN,MASON BIERLEIN@Estee Lauder Cos.COM,(433)8155680,MASON BIERLEIN,ACP,FPO,HYG,PAULA_LUNDHOLM_N50FB7.eft,,965XA,09/27/2008,09/27/2009,BHQ,Black,Concourse A,True,True,False,True,True,True,A,
LONNY,,RETKA,III,CHRISTIAN,,COSEN,,05/21/1993,GNQ,,,,U,A,240540210,BLN,GRN,79,755,18 HILLCREST STREET,,Atlanta,ID,48355-6672,FRO,(301)5597020,(202)4625034,(633)3348621,521-855-8440,806-618-2201,LONNY.RETKA@HEXE.CO.UK,PAK,,USA,8769650907,P,,,23X7Y7RQ5I,,,A645361870,52906175541,,,,,Aperature Science Laboratory,5748 HAYSTACK HIGHWAY,,Beaumont,NV,77065-2127,ASM,MICAH GOODLETT@Aperature Science Laboratory.EDU,(526)9607164,MICAH GOODLETT,GA,MDW-PFP,CLD,,FAKE809425,,,,,,,,,,,,,,
LAHOMA,LATICIA,WESSLING,VII,SADYE,KARLA,HERFORTH,,10/23/2001,USA,IN,Peoria,,F,B,253433859,XXX,BRO,69,525,2038 TANNER HIGHWAY,ROOM 284,Miramar,KY,28457-2753,PAN,676-700-6504,(815)7060445,(342)3635427,6046132212,5932586363,LAHOMA.WESSLING2001@SEOA.ORG,USA,09/22/2004,USA,6405555536,D,,,01C7ZBZYHP,,,,,,,,,Agilent Technologies,3495 STONEHAVEN HWY,OFFICE 253,Rocklin,NY,72706-7594,TCA,MALCOLM ZINZ@Agilent Technologies.GOV,7379843012,MALCOLM ZINZ,ACP,FPO,RDU,LAHOMA_WESSLING_W5ZG5Y.eft,,MB3KP,11/27/2006,11/27/2007,PUB,Red,Tarmac,False,False,False,True,True,True,R,Resignation
LUTHER,,PORTUONDO,,ERIK,,LOFTE,,09/21/1985,URY,,,,U,W,377640945,BLU,BLU,36,139,9972 WILDFLOWER,APARTMENT 401,Draper,VT,99964-6292,IOT,8158021184,9604908684,2494196771,(463)2120802,(816)4498258,LUTHER.PORTUONDO1985@YIZH.ORG,USA,,EGY,8947200963,M,0CQWRQ0,IR-3,6FPRB6YBV4,4HJC1SMXXV,49DJHJRC,,,YXAWS7YLC,LJES8P,QMQQLKQE64,IUFSP6O9,Richemont (Compagnie Financière),7658 DEERHILL BLVD,,Salem,TN,61192,CUB,BRADLEY DRINNEN@Richemont (Compagnie Financière).ORG,(510)6617746,BRADLEY DRINNEN,GA,DCM-FP,TNC,,,,,,,,,,,,,,,,
PAUL,RASHAD,HOUF,,GASTON,,LOUNSBERY,VI,09/24/1987,USA,NM,Santa Cruz,,M,W,389590772,BRO,BLU,35,283,3836 SPYGLASS HILL WAY,,Medina,SC,88952,WLF,607-852-4802,(397)8487358,206-521-5437,9679406165,484-561-3002,PAUL.HOUF@VTDB.ORG,USA,,USA,5286542889,P,,,AQYQ1UT2XU,,,,,,,,,Air France,2196 ILLINOIS ST,APT # 12,Monterey Park,OK,20071,CHL,COY LAPE@Air France.NET,2839560114,COY LAPE,GA,TFS-FP,AKB,,,,,,,,,,,,,,,,
LATOYIA,EFFIE,UTECHT,JR,MICA,AYAKO,HOLSOPPLE,,08/26/1942,USA,ND,Jeffersonville,,F,B,309400964,BRO,XXX,27,1269,7524 HEATHERVIEW BLVD,APT 332,Dania Beach,MI,80001,PRT,7146326123,297-423-2187,824-975-6170,(465)2511423,(207)4106543,LATOYIA.UTECHT@XVII.GOV,USA,02/23/1959,MHL,4871051906,M,7WMJZ4I,F32,6T8246JDKA,CRHKMQI4J9,30UACJHZ,,,MOEZTU7IY,VKDK6N,1E1AMSZ13C,DWNNB3ES,Aeromexico,5847 OVERLAND PARK ROAD,ROOM # 300,Boynton Beach,FL,35142,ISR,MICHEAL EGGINS@Aeromexico.EDU,490-596-4273,MICHEAL EGGINS,GA,TFS-PFP,YAZ,,FAKE326048,,,,,,,,,,,,,,
RAYMOND,,KEXEL,,EARLEAN,,STOLEBARGER,,11/23/1971,USA,IA,San Bruno,,F,A,231908533,BRY,HAZ,102,1054,3337 ROSEDALE RD,OFFICE 80,Maple Heights,IA,77142,TUN,751-707-3034,587-233-4966,822-672-2218,4952325673,467-549-5736,RAYMOND.KEXEL@ILSJ.NET,USA,06/25/2005,HKG,6462923022,P,AYSM5KH,R-1,V39AIKCXMV,KFZDYTHA5O,XZWCME2S,,,RID9K87JN,QT1JF1,XQG4CRQ2AT,589NPARB,Avon Products,2931 CALEDONIA PLACE,,Mansfield,NV,37601-8196,TON,ALEXIS DEMME@Avon Products.EDU,805-356-7184,ALEXIS DEMME,AW,FPO,PSP,RAYMOND_KEXEL_W3CDE7.eft,,,,,,,,,,,,,,,
JON,GLEN,ROWEN,,DEON,WARREN,REZENDES,,06/26/1931,USA,OR,Paramus,,U,I,633746930,PLE,BLU,96,532,8683 TOLAMAC PLACE,,Montclair,WV,92439-4465,WSM,3987679490,828-919-4507,(559)7910986,(450)8942194,6994855030,JON.ROWEN@KGOV.ORG,USA,,USA,3219405745,P,3TPUI4Z,E21,8PZTXM401Y,54YKCLZ7VP,9BFVU1JZ,,,1PR526ASN,XR5NCK,AIJ2LVK4G0,TUML4UY4,Virgin Airlines,6460 HEARFORD,ROOM 261,Spokane,KY,27250-3582,PRK,VITO SCHUENEMANN@Virgin Airlines.EDU,6693611661,VITO SCHUENEMANN,GA,PCS-FP,YQL,,,,,,,,,,,,,,,,
RHIANNON,,DIGBY,,YI,JOANNE,HICKENBOTTOM,II,11/21/1921,USA,NY,Iowa,,F,U,513822892,BRO,BLU,90,374,8395 SUMMITHILL ROAD,ROOM 57,Lincoln Park,AL,94794,MDG,(784)6379976,8703003784,864-207-2378,249-953-6548,512-357-6649,RHIANNON.DIGBY@XLEM.COM,USA,,USA,3572189856,D,,,2FXNB3II6O,,,,,,,,,Toshiba,8756 BRANCH ROAD,APT 461,Coeur d'Alene,AL,52752-3199,VGB,QUINCY LEGATE@Toshiba.EDU,3173462097,QUINCY LEGATE,AW,FPO,AKN,RHIANNON_DIGBY_WS02S8.eft,,3KEI2,07/24/2003,07/24/2004,KUU,Contractor,Tarmac,False,True,True,True,False,False,A,
EUSEBIO,,BOESER,IV,LEWIS,,ECONOMOU,I,02/27/1939,USA,ND,Springfield,,U,I,459542140,PLE,BLU,39,98,8810 OLD KINDERHOOK STREET,,Walnut Creek,AR,59273,MLI,796-725-4986,732-670-3093,683-918-5175,(805)3492969,513-325-6585,EUSEBIO.BOESER@YKGL.ORG,USA,,CRI,3591990817,P,5U9VL0R,BX3,ZIXQ009A8Y,DX0JBFJBUW,G8JB5D1H,,,JB5JE209X,EFHYTF,XH6Q3PV8Y4,23O1ZB2C,Company,7296 AUGUSTINE,SUITE 111,Provo,GA,49439-8750,DNK,DEAN PERCHES@Company.CO.UK,(858)7579295,DEAN PERCHES,ACP,FPO,IKO,EUSEBIO_BOESER_73Z3XW.eft,,,,,,,,,,,,,,,
WARD,JARVIS,TANH,VII,FILIBERTO,,CREMEANS,,05/21/1906,USA,WI,Redmond,,U,A,528863383,PNK,BRO,83,537,3889 LOCUST ROAD,,Shoreview,KS,27824,GRC,4383488385,8522948437,(706)7532100,5972715427,7522738504,WARD.TANH1906@DHOC.CO.UK,USA,08/27/1946,USA,2900630534,P,05Z7I6U,M-3,2UNYM8D71I,VYC0JPC8FZ,1M9STSR1,,,PTNC4FX3B,8DVTDB,WD4SNMSXQB,VVAV35EI,Asian Spirit,3411 OLIVE HIGHWAY,,Edmond,AR,28029,ISR,WALKER MANNHEIM@Asian Spirit.COM,5485658020,WALKER MANNHEIM,ACP,FPO,GLH,WARD_TANH_3ZJM5H.eft,,570OW,03/24/2007,03/24/2008,ITE,Red,Terminal 1,True,False,True,True,True,True,NI,Hiring Decision
WARREN,,LEDWELL,,EDMUNDO,RUBEN,MINAYA,JR,07/23/1932,USA,TX,Dalton,,U,U,501433107,BLN,PNK,98,823,3131 MIDVALE,,Fort Wayne,NE,37676-3363,LVA,257-866-9412,530-585-8885,7786111773,403-842-6146,510-859-9712,WARREN.LEDWELL@MXAM.ORG,USA,,USA,5373029084,M,,,UJLRGHPY1T,,,,,,,,,Air Products & Chemicals,9276 LABURNUM,,Quincy,WY,52952,GMB,KIRK HENINGER@Air Products & Chemicals.CO.UK,(747)8898849,KIRK HENINGER,ACP,FPO,INL,WARREN_LEDWELL_35XLNL.eft,,C8DAS,04/21/2010,04/21/2011,JRK,Yellow,Concourse A,True,False,True,True,True,False,R,Termination
MICHALE,,SHEEHAN,,JEROME,,AMAKER,,07/26/1902,USA,RI,Richmond,,U,B,500820155,RED,BRO,47,898,44 PESTO HIGHWAY,APT 261,Montebello,KY,54396-3917,OMN,(549)8227534,453-895-3236,3768186845,2652824351,5486452361,MICHALE.SHEEHAN1902@KYQD.COM,USA,08/26/1980,ARE,5245074974,M,HSJYJUI,SR-2,JOYG6Q1ENJ,EGZZO3068Q,9PY41SYA,,,S5F7G02JB,6NCGM0,621TUVM9N7,22E4ANGP,Kao,2706 OHIO,ROOM # 175,Oakland Park,AL,98475,MMR,ORLANDO GESUALDI@Kao.CO.UK,437-582-8306,ORLANDO GESUALDI,ACP,FPO,YSK,MICHALE_SHEEHAN_HAAAYK.eft,,,,,,,,,,,,,,,
ARNOLD,HENRY,BROGLIO,,BRYAN,JOSEPH,RAMADANOVIC,,06/22/1905,USA,AR,Wilmington,,U,I,224843041,ONG,BLU,49,764,3968 HISEY RANCH STREET,,Westfield,CO,68556,CPV,333-497-8927,(738)5181503,348-980-3499,614-902-3624,(703)7071759,ARNOLD.BROGLIO1905@DHQP.COM,USA,,USA,2262329120,M,,,Y868N1UGAT,,,,,,,,,Intuitive Surgical,1040 CAPILANO HIGHWAY,ROOM # 30,Kirkland,OH,72256-4795,KEN,MAN KOLLMAN@Intuitive Surgical.EDU,(624)9058219,MAN KOLLMAN,AW,FPO,SAN,ARNOLD_BROGLIO_W9M5OI.eft,,5W46T,02/25/2008,02/25/2009,FTF,Red,Ticketting,True,False,True,False,True,False,P,
